CID,Host galaxy,Host coord,SIMBAD,HyperLEDA,NED,total_type,reference,comment
2006ef,NGC 809,02 04 19.002 -08 44 07.24,S0,S0,S0:,S0,,
1993ae,UGC 1071,01 29 47.8662787406 -01 59 01.450277229,E,,S?,E,,
2009le,2MASX J02091807-2324542,02 09 18.077 -23 24 54.24,Sc,Sbc,Sbc,Sbc,,
2001G,MCG+08-17-043,09 09 32.919 +50 16 54.83,,Sab,Sc,Sab,,
2008C,UGC 3611,06 57 11.730 +20 26 14.80,S0a,S0-a,S0/a,S0/a,,
2008L,NGC 1259,03 17 17.268 +41 23 07.52,E,E-S0,,E,,
2006ax,NGC 3663,11 23 59.9322666719 -12 17 47.411826603,Sb,Sbc,Sbc,Sbc,,
2006ej,IC 1563,00 39 00.2360129244 -09 00 52.377809285,S0,S0,S0,S0,,
2002kf,2MASX J06371661+4951005,06 37 16.615 +49 51 00.50,,,,Sc,"Tully+,2016",
2010A,UGC 2019,02 32 39.2966682230 +00 37 02.305346962,I…,Sbc,S?,Sbc,,
2008ds,UGC 299,00 29 53.3946624475 +31 23 35.997729019,Sc,Sc,Sc,Sc,,
1998ec,UGC 3576,06 53 06.9532610211 +50 02 02.996948073,Sb,Sb,Sb,Sb,,
2000B,NGC 2320,07 05 42.024 +50 34 51.97,E,E,E,E,,
2009ds,NGC 3905,11 49 04.9153315454 -09 43 47.827924940,Sc,Sc,Sc,Sc,,
2005ki,NGC 3332,10 40 28.371 +09 10 57.19,E,E-S0,S0,E,,
2006bq,NGC 6685,18 39 58.652 +39 58 54.15,E/S0,E-S0,S0:,E/S0,,
2006et,NGC 232,00 42 45.814 -23 33 40.69,Sa,Sa,Sa?,Sa,,
2006or,NGC 3891,11 48 03.369 +30 21 33.53,Sc,Sbc,Sbc,Sbc,,
2000fa,UGC 3770,07 15 29.422 +23 25 37.93,I,I,Im,Ir,,
2007bc,UGC 6332,11 19 16.652 +20 48 48.87,Sab,Sa,Sa,Sa,,
1995ak,IC 1844,02 45 49.321 +03 13 51.77,Sbc,Sbc,,Sbc,,
2009na,UGC 5884,10 47 02.607 +26 32 34.73,Sc,Sb,Sb:,Sb,,
2006mp,MCG+08-31-029,17 11 59.084 +46 33 24.61,,,,Sb,"Tully+,2016",
2006sr,UGC 14,00 03 35.003 +23 12 02.94,Sc,Sc,S?,Sc,,
2000cn,UGC 11064,17 57 41.030 +27 50 04.88,Sc,Sc,Scd:,Sc,,
2006cp,UGC 7357,12 19 13.374 +22 25 53.63,Sd,Sc,Sc,Sc,,
1998eg,MCG+01-57-014,22 39 32.131 +08 36 46.53,Sc,Sc,Scd:,Sc,,
2006ac,NGC 4619,12 41 44.5513011687 +35 03 45.943237574,Sc,Sb,Sb,Sb,,
2003it,UGC 40,00 05 48.431 +27 26 58.00,S,Sb,S?,Sb,,
2007F,UGC 8162,13 03 16.179 +50 37 14.66,Scd,Sc,Scd:,Scd,,
1994M,NGC 4493,12 31 08.357 +00 36 49.64,S0,E,E,E,,
2008bf,NGC 4055,12 04 01.471 +20 13 56.34,E:,E,E:,E,,
2009D,MCG-03-10-52,03 54 24.659 -19 11 25.07,Sb,Sb,Sb,Sb,,
2002bf,2MASX J10154226+5540030,10 15 42.2501329470 +55 40 02.861278247,Sbc,Sb,Sb:,Sb,,
2002he,UGC 4322,08 20 01.7244319530 +62 49 50.449861514,E,E,E,E,,
2007cq,2MASX J22144070+0504435,22 14 40.702 +05 04 42.84,,,,Sbc,"Hakobyan+,2012",
2006bb,UGC 4468,08 33 30.718 +41 31 31.35,S0,S0,S0,S0,,
2005M,NGC 2930,09 37 32.772 +23 12 12.25,,Sbc,S?,Sbc,,
1999X,2MASX J08543185+3630346,08 54 31.8354561550 +36 30 34.629495385,,Sa,Sa,Sa,,
2005ms,UGC 4614,08 49 16.362 +36 07 11.53,Sd,Sb,S?,Scd,"Hakobyan+,2012",
2005mc,UGC 4414,08 27 05.9609308889 +21 38 43.026867475,,S0-a,S0/a ,S0/a,,
370356,UGC 7228,12 13 36.786 +46 29 38.36,Sab,Sb,,Sb,,
2007co,MCG+05-43-016,18 23 04.1772686590 +29 54 04.964949601,,,,Sc,"Tully+,2016",
2007su,LEDA 3374128,22 19 08.852 +13 10 40.49,,,,SF,"Hakobyan+,2012",
2001gb,IC 582,09 59 00.2191214866 +17 49 01.724627364 ,Sd,Sb,S,Sc,"Hakobyan+,2012",
2005na,UGC 3634,07 01 36.762 +14 08 06.89,Sa,Sa,Sa,Sa,,
2008ar,IC 3284,12 24 37.548 +10 50 20.36,Sa,Sab,Sab,Sab,,
1996C,MCG+08-25-047,13 50 48.830 +49 18 54.58,Sa,Sb,,Sb,,
2006ev,UGC 11758,21 30 57.6247237156 +13 59 10.231051517,S,Sbc,S?,Sbc,,
2005eq,MCG-01-09-006,03 08 48.358 -07 02 26.15,Sbc,S?,Scd?,Sbc,,
2003U,UGC 10832,17 22 43.8133760680 +62 09 57.933311209,Sc,Sc,Scd:,Sc,,
2002de,NGC 6104,16 16 30.6749775288 +35 42 28.959111583 ,S0,Sb,S?,Sb,,
2009ad,UGC 3236,05 03 33.212 +06 39 26.59,Sbc,Sb,Sbc,Sbc,,
2006qo,UGC 4133,08 00 08.518 +56 21 56.23,Sc,Sc,Scd:,Sc,,
2003ch,UGC 3787,07 17 57.5489604570 +09 41 21.435506872,E/S0,E-S0,S0?,E/S0,,
1994Q,2MASX J16495110+4025599,16 49 51.101 +40 25 59.93,S/Irr,Sc,Scd,Sc,,
2007is,UGC 10553,16 47 14.806 +40 14 42.50,S/Irr,Sab,Sab:,Sab,,
2004ef,UGC 12158,22 42 10.496 +19 59 49.21,Sb,Sb,Sb,Sb,,
2007cc,2MASX J14084200-2135498,14 08 42.004 -21 35 49.81,S…,Sc,Sc,Sc,,
2002ck,UGC 10030,15 47 00.409 -00 59 06.47,Sb,Sab,Sb,Sab,,
2007ux,2MASX J10091969+1459268,10 09 19.6916427703 +14 59 27.327945483,,S0-a,,S0/a,,
PTF10bjs,MCG+09-21-083,13 01 11.331 +53 48 40.04,,Sb,Sb,Sb,,
2006bw,LEDA 1258718,14 33 58.059 +03 47 50.38,,E,,E,,
2006en,MCG+05-54-41,23 10 04.7212906320 +30 13 27.469908373,Sc,Sc,,Sc,,
1999cc,NGC 6038,16 02 40.5484589077 +37 21 34.155133361,Sbc,Sc,Sc,Sc,,
2006is,Anon J051734-2346,05 17 34.52 -23 46 59.1,,,,,,
2005lu,MCG-03-07-40,02 36 4.144 -17 15 49.13,Sd,Sbc,S.../Irr?,Sbc,,
2007aj,Anon J124755+5400,12 47 54.53 +54 00 38.6,,,,,,
010026,MCG+10-15-120,10 42 41.283 +58 50 39.78,Sd,Sc,,Sc,,
2007bd,UGC 4455,08 31 32.880 -01 11 51.60,Sab,Sa,Sa,Sa,,
2006te,2MASX J08114347+4133184,08 11 43.4784768750 +41 33 17.944149800,Sbc,S?,,Sbc,,
2004as,LEDA 1676859,11 25 38.812 +22 49 52.24,S/I,Sd,,Sd,,
2007ob,2MASX J23122598+1354503,23 12 25.9921419773 +13 54 50.136853913,S0,S0-a,S0,S0,,
2008bw,UGC 11241,18 26 49.790 +51 08 21.18,Sb,Sb,Sb,Sb,,
1997dg,LEDA 5065169,23 40 14.178 +26 12 10.58,,,,Scd,"Hakobyan+,2012",S in Yonsei
2008gp,MCG+00-09-074,03 22 59.9861742462 +01 21 56.611632034,Sb,Sa,Sa,Sa,,
2005iq,MCG-03-01-08,23 58 31.8371941158 -18 42 50.218858328,Sa,Sab,Sa,Sa,,
2008gl,UGC 881,01 20 53.4785597322 +04 48 05.110737891,E,E,E,E,,
2004L,MCG+03-27-38,10 27 03.9442778387 +16 01 04.591196295,Sb,Sc,,Sc,,
2006gr,UGC 12071,22 32 24.468 +30 50 07.98,Sb,Sb,Sb,Sb,,
2003iv,MCG+02-08-14,02 50 08.841 +12 50 37.30,E…,E,,E,,
2008bq,2MASX J06410310-3802083,06 41 03.102 -38 02 08.36,Sa,Sab,Sa,Sa,,
2003cq,NGC 3978,11 56 10.351 +60 31 21.05,S,Sb,Sbc:,Sb,,
2003ae,2MASX J09282257+2726402,09 28 22.577 +27 26 40.26,,S?,,Sbc,"Tully+,2013",
2008af,UGC 9640,14 59 27.609 +16 38 42.07,E,E,E,E,,
2005be,2MASX J14593310+1640070,14 59 33.0726391393 +16 40 06.862620114,Sa,S0-a,,S0/a,,
2002G,MCG+06-29-043,13 07 54.8108667349 +34 05 13.601179948,Sa,E-S0,,Sa,,
1996bl,2MASX J00361813+1123354,00 36 18.134 +11 23 35.47,,,,Sbc,"Hakobyan+,2012",
2008at,UGC 5645,10 27 11.378 +71 25 04.47,Sb,Sb,Sb,Sb,,
2007hu,NGC 6261,16 56 30.5260371643 +27 58 39.239356106,Sa,S0-a,S0/a,S0/a,,
2006mo,MCG+06-02-17,00 46 38.6824967366 +36 19 52.857250833,S…,Sc,S?,Sc,,
2008gb,UGC 2427,02 57 56.740 +46 52 03.57,Sbc,Sbc,Sb-c,Sbc,,
2000cf,MCG+11-19-25,15 52 55.774 +65 56 08.00,,Sbc,,Sbc,,
17784,SDSS J032950.83+000316.0,03 29 50.84 +00 03 16.2,,Sc,,Sc,,
2007O,UGC 9612,14 56 04.3691653092 +45 24 18.992840562,Sbc,Sc,Sc,Sc,,
2002eu,2MASX J01494273+3237303,01 49 42.7237054446 +32 37 30.727678941,S0/Sa,,,S0/a,,
2006je,2MASX J01505173+3305321,01 50 51.7321145651 +33 05 32.569784749,Sa,S0,,S0,,
2007cb,2MASX J13581715-2322179,13 58 17.125 -23 22 17.05,Sab,Sb,Sa-b,Sab,,
2002bz,MCG+05-34-033,14 24 40.5279323590 +26 37 30.467747179,dG,E,S?,S0,,
1999ef,UGC 607,00 58 44.910 +12 44 54.10,Sc,Sc,Scd?,Sc,,
2006ak,2MASX J11093314+2837393,11 09 33.1464042339 +28 37 39.884236204,,S0,,Sab,"Tully+,2016",
2008051,SDSS J151958.87+045416.8,15 19 58.87695 +04 54 16.7946,,,,SF,"Jones+,2015",
2005lz,UGC 1666,02 10 48.620 +34 59 04.11,,,,Sa,"Tully+,2016",
2008fr,LEDA 5069093,01 11 49.20 +14 38 26.5 ,,,,,,
2003fa,MCG+07-36-033,17 44 08.5657114499 +40 52 02.719115020,Sb:…,Sb,S?,Sb,,
2001az,UGC 10483,16 34 28.824 +76 01 47.06,S ,Sbc,S,Sbc,,
2007kk,UGC 2828,03 42 24.0423249761 +39 14 39.994468357,Sb,Sb,Sbc,Sb,,
2005hf,2MASX J01270614+1906587,01 27 06.1239097282 +19 06 59.177636779,,,,Sa,"Hakobyan+,2012",
2007nq,UGC 595,00 57 34.920 -01 23 27.89,E,E,S?,E,,
2001ic,NGC 7503,23 10 42.239 +07 34 03.30,E …,E,E:,E,,
2006gt,2MASX J00561810-0137327,00 56 18.101 -01 37 32.77,,,,Sc,"Tully+,2013",
10805,2MASX J22594265-0000478,22 59 42.662 -00 00 48.86,Sm/Im,E?,,Ir,,
2005hc,MCG+00-06-03,01 56 48.496 -00 12 45.42,E/S0,Sbc,,Sab,"Tully+,2016",
2008by,SDSSJ120520.81+405644.4,12 05 20.81 +40 56 44.4,,,,SF,"Jones+,2015",
360156,SDSS J100313.51+015343.2,10 03 13.514 +01 53 43.26,S,Sc,,Sc,,
2008cf,LEDA 766647,14 07 32.3 -26 33 05,,,,,,
2004gu,2MASX J12462478+1156577,12 46 24.785 +11 56 57.72,,S?,,Sab,"Tully+,2016",
2008050,ULAS J133647.52+050829.6,13 36 47.599 +05 08 33.52,,,,SF,"Childress+,2013",
2006eq,2MASX J21283758+0113490,21 28 37.588 +01 13 49.01,,E?,,Sbc,"Tully+,2013",
2006cq,IC 4239,13 24 25.4287249612 +30 57 33.413728213,S…,S0-a,S?,S0/a,,
2007kh,LEDA 5067986,03 15 12.118 +43 10 12.76,,,,,,
530086,LEDA 1153699,22 11 28.2 -00 01 45,,E-S0,,E/S0,,
1993ac,LEDA 17787,05 46 24.573 +63 21 32.94,E,E,,E,,
2006ah,LEDA 994819,13 46 13.7 -09 07 53,,,,SF,"Childress+,2013",
2010dt,2MASX J16431345+3240391,16 43 13.258 +32 40 40.51,,Sb,Sb,Sb,,
2007ar,MCG+10-19-62,13 21 03.020 +58 32 55.89,S0,E-S0,E,S0,,
2008ac,LEDA 2317123,11 53 45.211 +48 25 21.33,,S?,,Sc,"Hakobyan+,2012",
1998dx,UGC 11149 ,18 11 09.785 +49 51 52.81,Es…,,,E,,
490007,SDSS J121704.45+463737.0,12 17 04.452 +46 37 37.05,,S?,,SF,SDSS DR15,
19968,2MASX J01372378-0018422,01 37 23.785 -00 18 42.22,,E,,E,,
2003ic,MCG-02-02-086,00 41 50.451 -09 18 11.46,E,S0,S0,E,,
2006lu,2MASX J09151727-2536001,09 15 17.19 -25 35 59.8,,,,,,
2005hj,LEDA 4131950,01 26 48.459 -01 14 17.25,,,,SF,"Hakobyan+,2012",
6558,LEDA 4131950,01 26 48.459 -01 14 17.25,,,,SF,"Hakobyan+,2012",
2006py,LEDA 3333560,22 41 42.047 -00 08 12.96,,E,,E,,
2006ob,UGC 1333,01 51 48.511 +00 15 49.77,Sa,Sb,Sb:,Sb,,
2006oa,LEDA 4019108,21 23 42.973 -00 50 34.70,,,,SF,"Hakobyan+,2012",
2001ah,UGC 6211,11 10 30.3347265900 +55 10 11.636992610,Sc,Sbc,Sbc,Sbc,,
2008bz,2MASX J12385810+1107502,12 38 58.103 +11 07 50.27,,Sc,,Sc,,
2007ae,UGC 10704,17 01 49.021 +79 02 15.87,S,Sbc,S,Sbc,,
070242,LEDA 5068245,,,,,,,
10028,2MASX J01105805+0016343, 01 10 58.064 +00 16 34.15,E/S0,E,,E/S0,,
080064,LEDA 3215910,03 29 41.90 -27 52 38.0,,,,,,
6057,LEDA 1130011,03 30 12.89 -00 58 28.3,Sm/Im,S?,,Sb,"Hakobyan+,2012",
2006cj,2MASX J12592407+2820498,12 59 24.124 +28 20 49.92,,S?,,Sb,"Hakobyan+,2012",
2006on,LEDA 4524675,21 55 58.496 -01 04 12.99,,E?,,E,,
2006al,LEDA 3358371,10 39 28.5302493035 +05 11 01.209669674,,E?,,S0/a,"Tully+,2016","Pa in Hakobyan+,2012"
2008Y,MCG+09-19-039,11 19 30.853 +54 27 39.24,,Sbc,,Sbc,,
470043,,,,,,,,
370566,SDSS J103956.37+582453.8,10 39 56.376 +58 24 54.00,,,,,,
17240,SDSS J003434.00-011257.5,00 34 34.0007141876 -01 12 57.534049895,,E,,E,,
550005,Anon J032744-2829,03 27 44.73 -28 29 17.9,,,,,,
2003hu,2MASX J19113272+7753382,19 11 32.7947350518 +77 53 38.414738706,,,,Sbc,"Hakobyan+,2012",
7876,LEDA 3116670,01 16 43.871 +00 47 37.09,Sb,E?,,Sb,,
370333,,,,,,,,
17186,Anon J020627-0053,02 06 27.08 -00 53 58.3,,,,SF,"Hakobyan+,2012",
12779,LEDA 1188169,20 37 53.436 +01 13 09.96,S,Sbc,,Sbc,,
350316,SDSS J084552.69+434905.8,08 45 52.683 +43 49 6.31,,,,,,
12950,SDSS J232640.14-005026.2,23 26 40.145 -00 50 26.23,,E?,,SF,"Hakobyan+,2012",
130308,LEDA 2422566,14 12 56.884 +52 44 36.89,,S?,,SF,"Duarte+,2017",
12898,SDSS J014710.33-000848.7,01 47 10.332 -00 08 48.72,,,,,,
12781,2MASX J00213789-0100383,00 21 37.890 -01 00 38.39,,E-S0,,E/S0,,
722,2MASS J00024907+0045051,00 02 49.0708 +00 45 04.858,E/S0,E,,E,,
3592,2MASX J01161269+0047265,01 16 12.7074271766 +00 47 26.033683092,Sb,Sa,,Sb,,
21502,2MASX J23342408-0053250,23 34 24.082 -00 53 25.02,,E,,E,,
17258,SDSS J022257.29+010132.3,02 22 57.2963382291 +01 01 32.389207170,,,,,,
1241,SDSS J223041.15-004634.5,22 30 41.153 -00 46 34.46,,,,Pa,"Jones+,2015",
590194,SDSS J084056.87+443127.3,08 40 56.876 +44 31 27.38,,,,SF,SDSS DR15,
370066,,,,,,,,
300105,,,,,,,,
774,SDSS J014151.28-005236.2,01 41 51.288 -00 52 36.23,Sa,S?,,Pa,"Jones+,2015",
18241,SDSS J204933.00-004543.0,20 49 33.009 -00 45 43.08,,,,SF,"Jones+,2015",
2102,SDSS J204853.04+001129.8,20 48 53.045 +00 11 29.86,Sm/Im,,,Ir,,
420100,SDSS J221225.28+005104.8,22 12 25.2824862532 +00 51 04.771247653,S0,E,,E,,
010010,SDSS J100325.83+010143.3,10 03 25.832 +01 01 43.33,,,,SF,"Jones+,2015",
16185,SDSS J010728.34-001609.6,01 07 28.344 -00 16 09.63,,,,,,
160099,,,,,,,,
140181,SDSS J121457.02+465040.6,12 14 57.020 +46 50 40.60,,,,,,
000190,,,,,,,,
13038,Anon J231118+0030,,,,,,,
10434,2MFGC 16592,21 59 49.731 -01 11 32.44,E/S0,Sc,,E/S0,,
100405,2MASX J03343065-2719149,03 34 30.657 -27 19 14.94,,,,,,
13135,SDSS J001641.85-002530.5,00 16 41.8464214083 -00 25 30.546123079,,E-S0,,E/S0,,
20064,2MASX J23542073-0055023,23 54 20.735 -00 55 02.30,,Sa,,Sa,,
130514,,08 40 55.74 +44 47 28.32,,,,,,
18697,SDSS J004453.81-005948.6,00 44 53.810 -00 59 48.67,,,,SF,"Hakobyan+,2012",
20625,SDSS J002243.95-002845.8,00 22 43.959 -00 28 45.80,,E,,SF,"Hakobyan+,2012",
500038,COSMOS 2334037,10 00 46.542 +02 33 04.54,,,,SF,SDSS DR15,
21034,SDSS J015234.16+011438.8,01 52 34.165 +01 14 38.86,,Sb,,Sbc,"Hakobyan+,2012",
7147,SDSS J232004.44-000320.1,23 20 04.443 -00 03 20.19,E/S0,,,E/S0,,
020027,SDSS J122520.40+460059.2,12 25 20.402 +46 00 59.21,,Sbc,,Sbc,,
18650,SDSS J215347.33+000054.1,21 53 47.327 +00 00 54.04,,,,,,
18612,SDSS J004909.12+003547.8,00 49 09.125 +00 35 47.80,,S0-a,,S0/a,,
8719,SDSS J003053.26-004307.0,00 30 53.261 -00 43 07.08,Sm/Im,,,Ir,,
5395,SDSS J031833.80+000724.0,03 18 33.81 +00 07 24.3,Sbc/Sc,,,Sc,,
2561,2MASX J03052260+0051346,03 05 22.636 +00 51 35.04,Sb,E,,Sb,,
16259,LEDA 1177432,23 28 07.8030326005 +00 51 29.409189876,,E,,E,,
1371,SDSS J231729.69+002546.8,23 17 29.698 +00 25 46.88,E/S0,E?,,E/S0,,
14871,SDSS J033706.46+000033.3,03 37 06.468 +00 00 33.33,,,,,,
000137,2MASS J10443818+5748398,10 44 38.185 +57 48 39.82,,,,,,
520022,,14 24 1.427 +53 27 50.61,,,,,,
13894,SDSS J000645.74-000212.3,00 06 45.747 -00 02 12.37,,,,,,
5549,SDSS J001259.98+001454.8,00 12 59.985 +00 14 54.81,,,,,,
12860,SDSS J213446.79+011031.4,21 34 46.792 +01 10 31.48,,,,,,"S in Hakobyan+,2012"
490008,,08 45 47.74 +44 25 14.15,,,,,,
19543,SDSS J235138.01+001647.4,23 51 38.012 +00 16 47.43,,,,,,
19953,SDSS J221143.27+003445.5,22 11 43.276 +00 34 45.60,,,,SF,SDSS DR15,
390259,,16 09 34.95 +53 52 06.68,,,,,,
18835,SDSS J033444.49+002119.8,03 34 44.495 +00 21 19.83,,,,Pa,"Hakobyan+,2012",
2916,Anon J220341+0034,,,,,Sa,"Zheng+,2008",
16021,SDSS J005522.52-002321.1,00 55 22.524 -00 23 21.18,,,,SF,SDSS DR15,
6406,SDSS J030421.25-010347.1,03 04 21.257 -01 03 47.17,Sb,,,Sb,,
570062,,23 32 24.43 +00 17 43.72,,,,,,
13044,SDSS J221010.32+003014.1,22 10 10.326 +00 30 14.16,Sc,,,Sc,,
06D2fb,[BMM2014] 612591,09 59 32.113 +01 49 39.16,,,,,,
2992,SDSS J034159.34-004658.4,03 41 59.347 -00 46 58.52,Sb,,,Sab,"Zheng+,2008",
13005,SDSS J014934.70-003858.9,01 49 34.708 -00 38 58.91,,,,,,
16069,SDSS J224458.81-010022.9,22 44 58.812 -01 00 22.98,,,,SF,"Hakobyan+,2012",
744,SDSS J215647.64+001901.3,21 56 47.643 +00 19 1.17,Sm/Im,,,SF,SDSS DR15,
18855,SDSS J031432.11+001608.0,03 14 32.113 +00 16 08.03,,,,SF,"Hakobyan+,2012",
18809,SDSS J032331.35+004002.1,03 23 31.351 +00 40 02.16,,,,Pa,"Hakobyan+,2012",
22075,SDSS J015951.28+011259.7 ,01 59 51.289 +01 12 59.73,,,,Pa,"Hakobyan+,2012",
1032,SDSS J030711.01+010711.9,03 07 11.019 +01 07 11.92,Sa,,,Sa,,
5751,SDSS J004632.24+005017.3,00 46 32.247 +00 50 17.38,Sbc/Sc,,,Sbc,,
18415,SDSS J222954.60+010330.4,22 29 54.603 +01 03 30.48,,,,,,
17280,SDSS J034310.04+000614.2,03 43 10.0358813470 +00 06 14.333207734,,,,Sbc,"Hakobyan+,2012",
14108,SDSS J033422.73-010722.8,03 34 22.72 -01 07 22.88,,,,,,
151034,SDSS J122032.85+464005.5,12 20 32.85 +46 40 05.59,,,,,,
15508,SDSS J014840.67-003432.7,01 48 40.674 -00 34 32.73,,,,SF,SDSS DR15,
15234,SDSS J010749.93+004942.9,01 07 49.930 +00 49 42.92,,,,SF,"Hakobyan+,2012",
330146,SDSS J022652.27-030713.8,02 26 52.27 -03 07 13.83,,,,,,
000014,SDSS J022330.91-043810.6,02 23 30.91 -04 38 10.68,,,,,,
17629,SDSS J020232.75-010523.7,02 02 32.753 -01 05 23.78,S,,,SF,SDSS DR15,
19775,SDSS J211549.47+003904.4,21 15 49.477 +00 39 04.40,,,,,,
18602,SDSS J223556.07+003632.7,22 35 56.077 +00 36 32.70,,,,SF,SDSS DR15,
21062,SDSS J221343.61+002346.6,22 13 43.618 +00 23 46.66,,,,SF,SDSS DR15,
17366,SDSS J210308.39-010152.2,21 03 08.396 -01 01 52.20,,,,SF,"Hakobyan+,2012",
15171,SDSS J201910.14-010351.5,20 19 10.144 -01 03 51.53,,,,,,
20084,SDSS J231154.05-003440.5,23 11 54.055 -00 34 40.57,,,,,,"Sburst, SDSS DR15"
190340,SDSS J221632.39+002824.3,22 16 32.39 +00 28 24.33,,,,SF,SDSS DR15,
17208,SDSS J000558.02+010611.3,00 05 58.020 +01 06 11.35,,,,,,
12928,SDSS J202002.08-005828.7,20 20 02.0895814818 -00 58 28.779763840,,,,,,
190230,SDSS J221545.08+002522.2,22 15 45.08 +00 25 22.23,,,,,,
090275,,,,,,,,
1794,SDSS J211120.86-002643.4,21 11 20.869 -00 26 43.40,Sm/Im,,,Ir,,
340229,,,,,,,,
2635,SDSS J033048.96-011415.4,03 30 48.972 -01 14 15.17,Sbc/Sc,,,Sc,,
190260,,,,,,,,
17497,SDSS J022832.76-010234.1,02 28 32.761 -01 02 34.17,,,,SF,"Hakobyan+,2012",
8921,SDSS J214000.47-000029.0,21 40 00.477 -00 00 29.04,Sm/Im,,,Ir,,
14024,SDSS J211248.19+005504.2,21 12 48.19 +00 55 04.24,,,,,,
090037,SDSS J084003.79+432516.6,08 40 03.79 +43 25 16.64,,,,,,
17605,SDSS J203648.61+000554.6,20 36 48.612 +00 05 54.63,,,,SF,SDSS DR15,
19940,SDSS J210134.34-001610.9,21 01 34.348 -00 16 10.98,,,,,,
440008,,,,,,,,
2308,SDSS J021705.61+001650.8,02 17 5.642 +00 16 50.83,,,,,,
13796,SDSS J232246.07+003156.3,23 22 46.073 +00 31 56.33,,,,,,
180166,SDSS J161122.03+550350.1,16 11 22.03 +55 03 50.12,,,,,,
14437,SDSS J220819.42-011146.7,22 08 19.426 -01 11 46.70,,,,,,
13736,SDSS J222719.83+010150.5,22 27 19.838 +01 01 50.55,,,,,,
310073,,,,,,,,
000038,SDSS J022022.99-044023.1,02 20 22.99 -04 40 23.18,,,,,,
460003,SDSS J083520.96+435115.9,08 35 20.96 +43 51 15.90,,,,,,
2031,SDSS J204810.43-011016.8,20 48 10.446 -01 10 16.81,Sm/Im,,,Ir,,
000091,,,,,,,,
